Z,dT,I,time
0,1000,0.0,1749983797.2048423
0,1000,0.0,1749983797.2272124
0,1000,0.0,1749983797.2496953
0,1000,0.0,1749983797.276042
0,1000,0.0,1749983797.3020828
0,1000,0.0,1749983797.328786
0,1000,0.0,1749983797.3550491
0,1000,0.0,1749983797.3767545
0,1000,0.0,1749983797.3983283
0,1000,0.0,1749983797.4194145
0,1000,0.0,1749983797.4407897
0,1000,0.0,1749983797.4626834
0,1000,0.0,1749983797.4843082
0,1000,0.0,1749983797.5062606
0,1000,0.0,1749983797.5282917
0,1000,0.0,1749983797.5499852
0,1000,0.0,1749983797.5713084
0,1000,0.0,1749983797.5923378
0,1000,0.0,1749983797.614196
0,1000,0.0,1749983797.6351156
0,1000,0.0,1749983797.6573381
0,1000,0.0,1749983797.6791472
0,1000,0.0,1749983797.7007241
0,1000,0.0,1749983797.7210126
0,1000,0.0,1749983797.7435975
0,1000,0.0,1749983797.7651744
0,1000,0.0,1749983797.7859926
0,1000,0.0,1749983797.8074994
0,1000,0.0,1749983797.8296368
0,1000,0.0,1749983797.8505914
0,1000,0.0,1749983797.8729575
0,1000,0.0,1749983797.8939013
0,1000,0.0,1749983797.916222
0,1000,0.0,1749983797.9372473
0,1000,0.0,1749983797.958302
0,1000,0.0,1749983797.9813654
0,1749983797.1827443,0.0,1749983798.002829
0,1749983797.1827443,0.0,1749983798.0246313
0,1749983797.1827443,0.0,1749983798.047154
-0.009955468991317036,1749983798.0038369,0.0,1749983798.0707853
-0.01062880378638737,0.04859328269958496,0.0,1749983798.094061
-0.010620166910516952,0.022204875946044922,0.0,1749983798.1155744
-0.010487838717021728,0.018290996551513672,0.0,1749983798.137974
-0.010620166910516952,0.01582193374633789,0.0,1749983798.159239
-0.010706207600221148,0.015979290008544922,0.0,1749983798.1811404
-0.010573849477477594,0.0260617733001709,0.0,1749983798.2028544
-0.010487838717021728,0.018765687942504883,0.0,1749983798.2242727
-0.01062880378638737,0.02840256690979004,0.0,1749983798.2470272
-0.010620166910516952,0.015613555908203125,0.0,1749983798.270546
-0.010620166910516952,0.016557693481445312,0.0,1749983798.2925067
-0.010620166910516952,0.014883279800415039,0.0,1749983798.3138645
-0.010496476246136836,0.017665624618530273,0.0,1749983798.336584
-0.010496476246136836,0.0259854793548584,0.0,1749983798.3593273
-0.010603976280413556,0.01523900032043457,0.0,1749983798.3815382
-0.010698713841708412,0.018115997314453125,0.0,1749983798.4033048
-0.010612584488252147,0.01410222053527832,0.0,1749983798.4246297
-0.010612584488252147,0.028989315032958984,0.0,1749983798.4464169
-0.010487838717021728,0.014211177825927734,0.0,1749983798.468548
-0.010496476246136836,0.017537593841552734,0.0,1749983798.4902973
-0.010736097394647268,0.0158689022064209,0.0,1749983798.5130205
-0.010620166910516952,0.014594554901123047,0.0,1749983798.534602
-0.010620166910516952,0.01425623893737793,0.0,1749983798.5563745
-0.010603976280413556,0.016194581985473633,0.0,1749983798.5790436
-0.010534100350305156,0.020041227340698242,0.0,1749983798.600975
-0.01062880378638737,0.014971256256103516,0.0,1749983798.6226597
-0.010603976280413556,0.013887643814086914,0.0,1749983798.6440787
-0.010620166910516952,0.014339685440063477,0.0,1749983798.6665125
-0.010752475228434004,0.013227224349975586,0.0,1749983798.689894
-0.010620166910516952,0.014644145965576172,0.0,1749983798.7116964
-0.010496476246136836,0.015110254287719727,0.0,1749983798.7334015
-0.010496476246136836,0.0147247314453125,0.0,1749983798.754943
